200980,QD,18,02,2017,	   0.3960
200980,QD,19,02,2017,	   0.4810
200980,QD,20,02,2017,	   0.5600
200980,QD,21,02,2017,	   1.0900
200980,QD,22,02,2017,	   1.1400
200980,QD,23,02,2017,	   0.9030
200980,QD,24,02,2017,	   0.6850
200980,QD,25,02,2017,	   0.5220
200980,QD,26,02,2017,	   0.4810
200980,QD,27,02,2017,	   0.4180
200980,QD,28,02,2017,	   0.3850
200980,QD,01,03,2017,	   0.4530
200980,QD,02,03,2017,	   0.3730
200980,QD,03,03,2017,	   0.3200
200980,QD,04,03,2017,	   0.3150
200980,QD,05,03,2017,	   0.3090
200980,QD,06,03,2017,	   0.3120
200980,QD,07,03,2017,	   0.3990
200980,QD,08,03,2017,	   0.3810
200980,QD,09,03,2017,	   0.6100
200980,QD,10,03,2017,	   1.0400
200980,QD,11,03,2017,	   0.8670
200980,QD,12,03,2017,	   0.6480
200980,QD,13,03,2017,	   0.5540
200980,QD,14,03,2017,	   0.4930
200980,QD,15,03,2017,	   0.4680
200980,QD,16,03,2017,	   0.4550
200980,QD,17,03,2017,	   0.3840
200980,QD,18,03,2017,	   0.6160
200980,QD,19,03,2017,	   0.9120
200980,QD,20,03,2017,	   0.8540
200980,QD,21,03,2017,	   0.7090
200980,QD,22,03,2017,	   0.6880
200980,QD,23,03,2017,	   0.8390
200980,QD,24,03,2017,	   0.7550
200980,QD,25,03,2017,	   0.5740
200980,QD,26,03,2017,	   0.4860
200980,QD,27,03,2017,	   0.4460
200980,QD,28,03,2017,	   0.4640
200980,QD,29,03,2017,	   0.4430
200980,QD,30,03,2017,	   0.4310
200980,QD,31,03,2017,	   0.4180
200980,QD,01,04,2017,	   0.3850
200980,QD,02,04,2017,	   0.3860
200980,QD,03,04,2017,	   0.5770
200980,QD,04,04,2017,	   1.1100
200980,QD,05,04,2017,	   0.9810
200980,QD,06,04,2017,	   0.8290
200980,QD,07,04,2017,	   0.7440
200980,QD,08,04,2017,	   0.7110
200980,QD,09,04,2017,	   0.6370
200980,QD,10,04,2017,	   0.5630
200980,QD,11,04,2017,	   0.5640
200980,QD,12,04,2017,	   0.5560
200980,QD,13,04,2017,	   0.6310
200980,QD,14,04,2017,	   0.5470
200980,QD,15,04,2017,	   0.4840
200980,QD,16,04,2017,	   0.4770
200980,QD,17,04,2017,	   0.5660
200980,QD,18,04,2017,	   0.6580
200980,QD,19,04,2017,	   0.5240
200980,QD,20,04,2017,	   0.4430
200980,QD,21,04,2017,	   0.4080
200980,QD,22,04,2017,	   0.4490
200980,QD,23,04,2017,	   0.4650
200980,QD,24,04,2017,	   0.4440
200980,QD,25,04,2017,	   0.4280
200980,QD,26,04,2017,	   0.6070
200980,QD,27,04,2017,	   0.6450
200980,QD,28,04,2017,	   0.8470
200980,QD,29,04,2017,	   1.1100
200980,QD,30,04,2017,	   0.9040
200980,QD,01,05,2017,	   0.7490
200980,QD,02,05,2017,	   0.6560
200980,QD,03,05,2017,	   0.5670
200980,QD,04,05,2017,	   0.5480
200980,QD,05,05,2017,	   0.9490
200980,QD,06,05,2017,	   0.7890
200980,QD,07,05,2017,	   0.6630
200980,QD,08,05,2017,	   0.5850
200980,QD,09,05,2017,	   0.5310
200980,QD,10,05,2017,	   0.4720
200980,QD,11,05,2017,	   0.4590
200980,QD,12,05,2017,	   0.4520
200980,QD,13,05,2017,	   0.6180
200980,QD,14,05,2017,	   0.8840
200980,QD,15,05,2017,	   0.7810
200980,QD,16,05,2017,	   0.6210
200980,QD,17,05,2017,	   0.4600
200980,QD,18,05,2017,	   0.4080
200980,QD,19,05,2017,	   0.3950
200980,QD,20,05,2017,	   0.3350
200980,QD,21,05,2017,	   0.3240
200980,QD,22,05,2017,	   0.3450
200980,QD,23,05,2017,	   0.3330
200980,QD,24,05,2017,	   0.4300
200980,QD,25,05,2017,	   0.3900
200980,QD,26,05,2017,	   0.3480
200980,QD,27,05,2017,	   0.2800
200980,QD,28,05,2017,	   0.2550
200980,QD,29,05,2017,	   0.2540
200980,QD,30,05,2017,	   0.3260
200980,QD,31,05,2017,	   0.4320
200980,QD,01,06,2017,	   0.3180
200980,QD,02,06,2017,	   0.2860
200980,QD,03,06,2017,	   0.2690
200980,QD,04,06,2017,	   0.2680
200980,QD,05,06,2017,	   0.2470
200980,QD,06,06,2017,	   0.3390
200980,QD,07,06,2017,	   0.4610
200980,QD,08,06,2017,	   0.3240
200980,QD,09,06,2017,	   0.2610
200980,QD,10,06,2017,	   0.2560
200980,QD,11,06,2017,	   0.2260
200980,QD,12,06,2017,	   0.2060
200980,QD,13,06,2017,	   0.1710
200980,QD,14,06,2017,	   0.1590
200980,QD,15,06,2017,	   0.1560
200980,QD,16,06,2017,	   0.2870
200980,QD,17,06,2017,	   0.1750
200980,QD,18,06,2017,	   0.1710
200980,QD,19,06,2017,	   0.1740
200980,QD,20,06,2017,	   0.1680
200980,QD,21,06,2017,	   0.1390
200980,QD,22,06,2017,	   0.1380
200980,QD,23,06,2017,	   0.5320
200980,QD,24,06,2017,	   0.3940
200980,QD,25,06,2017,	   0.2960
200980,QD,26,06,2017,	   0.2310
200980,QD,27,06,2017,	   0.1870
200980,QD,28,06,2017,	   0.5770
200980,QD,29,06,2017,	   1.6600
200980,QD,30,06,2017,	   1.6500
200980,QD,01,07,2017,	   0.6130
200980,QD,02,07,2017,	   0.4070
200980,QD,03,07,2017,	   0.3280
200980,QD,04,07,2017,	   0.2790
200980,QD,05,07,2017,	   0.2470
200980,QD,06,07,2017,	   0.2300
200980,QD,07,07,2017,	   0.2070
200980,QD,08,07,2017,	   0.1860
200980,QD,09,07,2017,	   0.1730
200980,QD,10,07,2017,	   0.1660
200980,QD,11,07,2017,	   0.1830
200980,QD,12,07,2017,	   0.2160
200980,QD,13,07,2017,	   0.2770
200980,QD,14,07,2017,	   0.2120
200980,QD,15,07,2017,	   0.2020
200980,QD,16,07,2017,	   0.1980
200980,QD,17,07,2017,	   0.1770
200980,QD,18,07,2017,	   0.1620
200980,QD,19,07,2017,	   0.1600
200980,QD,20,07,2017,	   0.1650
200980,QD,21,07,2017,	   0.2210
200980,QD,22,07,2017,	   0.1690
200980,QD,23,07,2017,	   0.1520
200980,QD,24,07,2017,	   0.1890
200980,QD,25,07,2017,	   0.2770
200980,QD,26,07,2017,	   0.2300
200980,QD,27,07,2017,	   0.4670
200980,QD,28,07,2017,	   0.4360
200980,QD,29,07,2017,	   0.3450
200980,QD,30,07,2017,	   0.2970
200980,QD,31,07,2017,	   0.2500
200980,QD,01,08,2017,	   0.2200
200980,QD,02,08,2017,	   0.1870
200980,QD,03,08,2017,	   0.2010
200980,QD,04,08,2017,	   0.1930
200980,QD,05,08,2017,	   0.1650
200980,QD,06,08,2017,	   0.1370
200980,QD,07,08,2017,	   0.1230
200980,QD,08,08,2017,	   0.1090
